Invoice,StockCode,Description,Quantity,Price,Customer ID,Country
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,6.95,13085,United Kingdom
489434,79323P,PINK CHERRY LIGHTS,12,6.75,13085,United Kingdom
489434,79323W, WHITE CHERRY LIGHTS,12,6.75,13085,United Kingdom
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,2.1,13085,United Kingdom
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,1.25,13085,United Kingdom
489434,22064,PINK DOUGHNUT TRINKET POT ,24,1.65,13085,United Kingdom
489434,21871,SAVE THE PLANET MUG,24,1.25,13085,United Kingdom
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,5.95,13085,United Kingdom
489435,22350,CAT BOWL ,12,2.55,13085,United Kingdom
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,3.75,13085,United Kingdom
489435,22195,HEART MEASURING SPOONS LARGE,24,1.65,13085,United Kingdom
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,2.55,13085,United Kingdom
489436,48173C,DOOR MAT BLACK FLOCK ,10,5.95,13078,United Kingdom
489436,21755,LOVE BUILDING BLOCK WORD,18,5.45,13078,United Kingdom
489436,21754,HOME BUILDING BLOCK WORD,3,5.95,13078,United Kingdom
489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,1.69,13078,United Kingdom
489436,22119, PEACE WOODEN BLOCK LETTERS,3,6.95,13078,United Kingdom
489436,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,1.45,13078,United Kingdom
489436,22296,HEART IVORY TRELLIS LARGE,12,1.65,13078,United Kingdom
489436,22295,HEART FILIGREE DOVE LARGE,12,1.65,13078,United Kingdom
489436,22109,FULL ENGLISH BREAKFAST PLATE,16,3.39,13078,United Kingdom
489436,22107,PIZZA PLATE IN BOX,4,3.75,13078,United Kingdom
489436,22194,BLACK DINER WALL CLOCK,2,8.5,13078,United Kingdom
489436,35004B,SET OF 3 BLACK FLYING DUCKS,12,4.65,13078,United Kingdom
489436,82582,AREA PATROLLED METAL SIGN,12,2.1,13078,United Kingdom
489436,21181,PLEASE ONE PERSON  METAL SIGN,12,2.1,13078,United Kingdom
489436,21756,BATH BUILDING BLOCK WORD,3,5.95,13078,United Kingdom
489436,21333,CLASSIC WHITE FRAME,6,2.95,13078,United Kingdom
489436,84596F,SMALL MARSHMALLOWS PINK BOWL,8,1.25,13078,United Kingdom
489436,84596L,BISCUITS SMALL BOWL LIGHT BLUE,8,1.25,13078,United Kingdom
489436,22111,SCOTTIE DOG HOT WATER BOTTLE,24,4.25,13078,United Kingdom
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,2.1,15362,United Kingdom
489437,22145,CHRISTMAS CRAFT HEART STOCKING ,6,2.1,15362,United Kingdom
489437,22130,PARTY CONE CHRISTMAS DECORATION ,12,0.85,15362,United Kingdom
489437,21364,PEACE SMALL WOOD LETTERS,2,6.75,15362,United Kingdom
489437,21360,JOY LARGE WOOD LETTERS,1,9.95,15362,United Kingdom
489437,21351,CINAMMON & ORANGE WREATH,2,6.75,15362,United Kingdom
489437,21352,EUCALYPTUS & PINECONE  WREATH,2,6.75,15362,United Kingdom
489437,35400,WOODEN BOX ADVENT CALENDAR ,2,8.95,15362,United Kingdom
489437,20695,FLORAL BLUE MONSTER,3,4.25,15362,United Kingdom
489437,37370,RETRO COFFEE MUGS ASSORTED,12,1.25,15362,United Kingdom
489437,10002,INFLATABLE POLITICAL GLOBE ,12,0.85,15362,United Kingdom
489437,84507B,STRIPES DESIGN MONKEY DOLL,6,2.55,15362,United Kingdom
489437,20703,BLUE PADDED SOFT MOBILE,3,4.25,15362,United Kingdom
489437,21987,PACK OF 6 SKULL PAPER CUPS,12,0.65,15362,United Kingdom
489437,21989,PACK OF 20 SKULL PAPER NAPKINS,12,0.85,15362,United Kingdom
489437,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,0.85,15362,United Kingdom
489437,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,1.25,15362,United Kingdom
489437,22271,FELTCRAFT DOLL ROSIE,6,2.95,15362,United Kingdom
489437,22272,FELTCRAFT DOLL MARIA,6,2.95,15362,United Kingdom
489437,22274,FELTCRAFT DOLL EMILY,6,2.95,15362,United Kingdom
489437,21912,VINTAGE SNAKES & LADDERS,4,3.75,15362,United Kingdom
489437,22111,SCOTTIE DOG HOT WATER BOTTLE,3,4.95,15362,United Kingdom
489437,22112,CHOCOLATE HOT WATER BOTTLE,3,4.95,15362,United Kingdom
489438,21329,DINOSAURS  WRITING SET ,28,0.98,18102,United Kingdom
489438,21252,SET OF MEADOW  FLOWER STICKERS,30,1.69,18102,United Kingdom
489438,21100,CHARLIE AND LOLA CHARLOTTE BAG,30,1.15,18102,United Kingdom
489438,21033,JUMBO BAG CHARLIE AND LOLA TOYS,30,2,18102,United Kingdom
489438,20711,JUMBO BAG TOYS ,60,1.3,18102,United Kingdom
489438,21410,COUNTRY COTTAGE  DOORSTOP GREEN,32,2.5,18102,United Kingdom
489438,21411,GINGHAM HEART  DOORSTOP RED,32,2.5,18102,United Kingdom
489438,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,56,3,18102,United Kingdom
489438,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,56,3,18102,United Kingdom
489438,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,60,1.9,18102,United Kingdom
489438,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,56,1.9,18102,United Kingdom
489438,84519A,TOMATO CHARLIE+LOLA COASTER SET,56,2.15,18102,United Kingdom
489438,84519B,CARROT CHARLIE+LOLA COASTER SET,60,2.4,18102,United Kingdom
489438,85132A,CHARLIE + LOLA BISCUITS TINS,60,6.38,18102,United Kingdom
489438,85132C,CHARLIE AND LOLA FIGURES TINS,60,6.4,18102,United Kingdom
489438,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,60,2.4,18102,United Kingdom
489438,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,60,2.4,18102,United Kingdom
489439,22065,CHRISTMAS PUDDING TRINKET POT ,12,1.45,12682,France
489439,22138,BAKING SET 9 PIECE RETROSPOT ,9,4.95,12682,France
489439,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,9,4.95,12682,France
489439,22352,LUNCHBOX WITH CUTLERY RETROSPOT ,12,2.55,12682,France
489439,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,3,5.95,12682,France
489439,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3,5.95,12682,France
489439,16161P,WRAP ENGLISH ROSE ,25,0.42,12682,France
489439,16169N,WRAP BLUE RUSSIAN FOLKART,25,0.42,12682,France
489439,21491,SET OF THREE VINTAGE GIFT WRAPS,6,1.95,12682,France
489439,22333,RETRO SPORT PARTY BAG + STICKER SET,8,1.65,12682,France
489439,85216,ASSORTED CAKES FRIDGE MAGNETS,12,0.65,12682,France
489439,21493, VINTAGE DESIGN GIFT TAGS,12,0.85,12682,France
489439,22130,PARTY CONE CHRISTMAS DECORATION ,24,0.85,12682,France
489439,22064,PINK DOUGHNUT TRINKET POT ,12,1.65,12682,France
489439,21731,RED TOADSTOOL LED NIGHT LIGHT,24,1.65,12682,France
489439,85232B,SET/3 RUSSIAN DOLL STACKING TINS,6,4.95,12682,France
489439,84691,PACK 20 DOLLY PEGS,12,0.85,12682,France
489439,20749,ASSORTED COLOUR MINI CASES,2,7.95,12682,France
489439,POST,POSTAGE,3,18,12682,France
489440,22350,CAT BOWL ,8,2.55,18087,United Kingdom
